date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
5/19/2011,27.03,28.44,26.6001,28.2,2655366,1.88,7.02,16464737.95
5/20/2011,28.26,28.2801,27.3501,27.9699,842533,1.8647,-0.81,16057098.7
5/23/2011,27.6201,27.6201,26.6199,26.82,863547,1.788,-4.11,16104130.45
5/24/2011,27.0201,27.5001,26.6001,26.7201,613673,1.7813,-0.37,15535128
5/25/2011,26.9001,29.01,26.1699,28.98,4693810,1.932,8.46,18307810.4
5/26/2011,28.8201,29.76,28.1001,29.4801,3336890,1.9653,1.72,19576730.85
5/27/2011,29.5401,29.67,28.8201,29.55,1687068,1.97,0.24,20297277.55
5/31/2011,29.6901,30.2799,29.55,30.1401,3290521,2.0093,1.99,22176749
6/1/2011,30,30.0999,28.38,28.5171,1530395,1.9011,-5.38,22639072.25
6/2/2011,28.5201,29.3199,28.5099,28.7601,986293,1.9173,0.85,22593416
6/3/2011,29.9499,31.5,29.4999,30.1299,6210208,2.0087,4.77,26336485.85
6/6/2011,30.0999,30.1299,28.26,28.7001,2331766,1.9133,-4.75,27349106.55
6/7/2011,28.9401,29.3901,28.26,28.3701,1222098,1.8913,-1.15,27578453.55
6/8/2011,28.44,28.5999,27.0201,27.12,1696935,1.808,-4.4,27699436.05
6/9/2011,27.4299,28.1001,27.0999,27.6201,1604219,1.8413,1.84,28180377.3
6/10/2011,27.5199,28.299,27.3501,27.8601,1566531,1.8573,0.87,28884471.25
6/13/2011,28.0701,28.8801,27.8799,28.4301,1713760,1.8953,2.05,29673609.2
6/14/2011,28.5399,29.7,28.5201,28.5999,1573309,1.9067,0.6,30286875.15
6/15/2011,28.44,28.4499,27.0699,27.3201,1346578,1.8213,-4.48,30371192.4
6/16/2011,27.6699,27.9999,25.74,26.4999,1842123,1.7667,-3,31205730.1
6/17/2011,26.8701,27.6999,26.1399,26.4999,1713964,1.7667,0,30499678.65
6/20/2011,26.2899,26.46,25.5,26.01,1537708,1.734,-1.85,31021059.9
6/21/2011,26.2401,27.7299,26.0001,27.5301,1496562,1.8353,5.84,31495821.15
6/22/2011,27.3699,28.2501,27.0999,27.21,1475532,1.814,-1.16,32142216.1
6/23/2011,27.2001,27.72,26.2101,27.7101,1169989,1.8473,1.84,29499350.45
6/24/2011,27.6399,27.9699,27.2601,27.5649,3608857,1.8377,-0.52,29703325.7
6/27/2011,27.7299,28.2801,27.3099,27.4599,1809366,1.8307,-0.38,29795049.2
6/28/2011,27.7899,28.2501,27.6699,28.11,889131,1.874,2.37,27994006.75
6/29/2011,28.5,29.0901,28.0701,28.29,1461707,1.886,0.64,27942490.75
6/30/2011,28.5,29.3301,28.4001,29.13,946653,1.942,2.97,27912760.75
7/1/2011,29.07,29.6001,28.8,29.0199,854838,1.9347,-0.38,23896233.4
7/5/2011,29.0199,29.52,28.71,29.1399,995988,1.9427,0.41,22894399.95
7/6/2011,29.1399,29.1399,28.5501,28.9599,926888,1.9307,-0.62,22672992.45
